filename,filesize,modified,errors,sha256,namespace,id,format,version,mime,class,basis,warning
/usr/deposit/deposits/xy97za6qef27/objects/boo.bar,50789,2026-01-20T14:30:23Z,,5008b95670ae2ed3fc27c45ffe8a7e79c19f13b53306831f7b18ad8203fe4077,pronom,fmt/583,Vector Markup Language,,,"Image (Vector), Text (Mark-up)","byte match at 6, 39",extension mismatch
/usr/deposit/deposits/xy97za6qef27/objects/brian_news-alert-test-cpr-3171.msg,187904,2026-01-20T14:30:00Z,,bab163717d42c1f85ad434007c1bb3e7385212026002ba67a4ec09841f5d0c70,pronom,x-fmt/430,Microsoft Outlook Email Message,97-2003,,Email,extension match msg; container name __nameid_version1.0 with name only; name __properties_version1.0 with name only,
/usr/deposit/deposits/xy97za6qef27/objects/chrome_bookmarks_11_11_2020.html,621891,2026-01-20T14:29:40Z,,b2785c76ffec3fcd42be30a58be94f30e70d6ba9815bb8c6ef488432137f1d27,pronom,fmt/1132,Netscape Bookmark File Format,,,Text (Mark-up),"extension match html; byte match at 0, 35",
/usr/deposit/deposits/xy97za6qef27/objects/digirati-logo-white-green.svg,6037,2026-01-20T14:29:23Z,,faa3467b13d80944e22742976f4f4b2c2f74ca08001e39d5a8a48adc565b6c31,pronom,UNKNOWN,,,,,,"no match; possibilities based on extension are fmt/91, fmt/92, fmt/413"
/usr/deposit/deposits/xy97za6qef27/objects/foo.bar,50789,2026-01-20T14:30:34Z,,5008b95670ae2ed3fc27c45ffe8a7e79c19f13b53306831f7b18ad8203fe4077,pronom,fmt/583,Vector Markup Language,,,"Image (Vector), Text (Mark-up)","byte match at 6, 39",extension mismatch
/usr/deposit/deposits/xy97za6qef27/objects/pm1.mp4,22748707,2026-01-20T14:31:22Z,,0d52980fe7e30361eb5c3cd4f52fa9372a80657b24f6a5d7102185f090c55056,pronom,fmt/199,MPEG-4 Media File,,application/mp4,"Audio, Video",extension match mp4; byte match at [[4 8] [22088895 4]],
/usr/deposit/deposits/xy97za6qef27/objects/pm2.mp4,22748707,2026-01-20T14:32:01Z,,0d52980fe7e30361eb5c3cd4f52fa9372a80657b24f6a5d7102185f090c55056,pronom,fmt/199,MPEG-4 Media File,,application/mp4,"Audio, Video",extension match mp4; byte match at [[4 8] [22088895 4]],
/usr/deposit/deposits/xy97za6qef27/objects/silver-dagger.m4a,3703505,2026-01-20T17:25:58Z,,2eb7c08f5ea3baf39ac7376c9c71f911e5be894aad1f0048209c166a029ec76f,pronom,fmt/199,MPEG-4 Media File,,application/mp4,"Audio, Video",extension match m4a; byte match at [[4 20] [36 4]],
/usr/deposit/deposits/xy97za6qef27/objects/silver-dagger.mp4,3703505,2026-01-20T17:26:16Z,,2eb7c08f5ea3baf39ac7376c9c71f911e5be894aad1f0048209c166a029ec76f,pronom,fmt/199,MPEG-4 Media File,,application/mp4,"Audio, Video",extension match mp4; byte match at [[4 20] [36 4]],
/usr/deposit/deposits/xy97za6qef27/objects/zoomoutlookpluginsetup.msi,7598592,2026-01-20T14:29:09Z,,b1706937b73f35c27b51c4919f387a65492a6ffb58cdd9b071868d2a727df57f,pronom,fmt/111,OLE2 Compound Document Format,,,Text (Structured),"byte match at 0, 30",
